№ документа,"Дата
реєстрації",Адресати,Короткий зміст
3219/29/06-2,2025-12-26,"АТ ""Національна суспільна телерадіокомпанія України""",Лист щодо дозволу на здійснення попередньої оплати.
3220/23/06,2025-12-26,Міністерство фінансів України,"З проханням надати роз""яснення щодо порядку складання та подання консолідованої фінансової та бюджетної звітності"
3221/34/11-2,2025-12-26,ТОВ «РОЗЕТКА. УА»,Пропонуємо видалити пропозиції з маркетплейсу та попередити продавця «KingsBook» про неприпустимість провадження діяльності у видавничій справі з порушенням вимог українського законодавства
3222/31/04,2025-12-29,"Новіков О.С.; Національне видавництво дитячої літератури ""Веселка""",Щодо результатів конкурсу на здобуття Літературно-мистецької премію імені Олени Пчілки за 2025 рік.
3223/24/06,2025-12-29,Державна служба України з питань праці,"Щотижнева (станом на 29.12.2025) оперативна інформація стосовно погашення заборгованості із заробітної плати підприємств, підпорядкованих Держкомтелерадіо."
3224/23/06,2025-12-29,Міністерство економічного розвитку і торгівлі України,"Щотижнева (станом на 29.12.2025) оперативна інформація стосовно погашення заборгованості із заробітної плати підприємств, підпорядкованих Держкомтелерадіо."
3225/22/12,2025-12-29,Кабінет Міністрів України,Щодо додаткових пропозицій до проекту розпорядження Кабінету Міністрів України «Про затвердження плану заходів на 2026 рік щодо забезпечення національної стійкості».
3226/23/03-1,2025-12-29,Міністерство культури України,Про виконання у ІV кварталі 2025 року Операційного плану заходів з реалізації у 2025-2026 роках Стратегії комунікацій з питань європейської інтеграції на період до 2026 року.
3227/23/03-2,2025-12-29,"Міністерство соціальної політики, сім’ї та єдності України","Пропозиції до проекту Плану заходів, пов’язаних із 40-ми роковинами Чорнобильської катастрофи, та просить надати пропозиції до нього в п’ятиденний строк."
3228/32/01,2025-12-30,ЦЕНТРАЛЬНИЙ ДЕРЖАВНИЙ АРХІВ ВИЩИХ ОРГАНІВ ВЛАДИ ТА УПРАВЛІННЯ УКРАЇНИ,"Про моніторинг наявності та стану збереження документів НАФ, що перебувають у зоні комплектування ЦДАВО України."
3229/23/06,2025-12-30,Міністерство фінансів України,"На додаток до листа Держкомтелерадіо від 19.12.2025 № 3156/23/06 щодо забезпечення виплати одноразової допомоги Володимиру Рощину, батькові загиблої журналістки Вікторії Рощиної,"
3230/17/03-2,2025-12-30,"Півненко В.М.; ТОВ ""Воля-Кабель""",Надсилається за належністю звернення гр.Півненко В.М.
3231/17/03-2,2025-12-30,"Куратьова В.Є.; Національна рада України з питань телебачення і радіомовлення; ТОВ ""ЗЕОНБУД""",Надсилається за належністю звернення гр. Куратьової В.Є.
3232/17/03-2,2025-12-30,Гончаренко А.І.,"Повідомляється про те, що згідно з вимогами Закону України «Про медіа» засоби масової інформації є незалежними у визначенні змісту програм."
3233/23/13,2025-12-30,Міністерство оборони України,"Відомість контролю щодо звіряння облікових даних військовозобов’язаних, оповіщення і прибуття військовозобов’язаних до відповідних територіальних центрів комплектування та соціальної підтримки апарату Держкомтелерадіо, підприємств, установ та товариств сфери управління Держкомтелерадіо."
3234/23/10,2025-12-30,"Міністерство економіки, довкілля та сільського господарства України","Інформується, що в 4 кварталі 2025 року звернень до Держкомтелерадіо щодо погодження укладання договорів про спільну діяльність, договорів комісії, доручень та управління майном від державних підприємств, установ та господарських товариств сфери управління Держкомтелерадіо не надходило."
3235/23/10,2025-12-30,Міністерство енергетики України,"Про відсутність у суб’єктів господарювання державного сектору економіки сфери управління Держкомтелерадіо енергетичного обладнання, що не використовується."
3236/29/03-2,2025-12-30,"АТ ""Національна суспільна телерадіокомпанія України""; ДНУ ""Книжкова палата України імені Івана Федорова""; Державна наукова установа ""Енциклопедичне видавництво""","Надсилається Постанова Верховної Ради України № 4748-ІХ від 18 грудня 2025 року ""Про відзначення пам’ятних дат і ювілеїв у 2026–2027 роках"" для опрацювання та використання у роботі."
3237/24/10,2025-12-30,Фонд державного майна України,"Інформація про хід проведення державної реєстрації права власності на державне нерухоме майно (будівлі, споруди або їх окремі частини та земельні ділянки) підприємствами, установами, товариствами сфери управління Держкомтелерадіо за 4 квартал 2025 р."
3238/23/03,2025-12-30,Міністерство культури України,"Повідомляється, що механізму допомоги місцевим телеканалам та радіостанціям України у вигляді субвенції на оплату послуг Концерну радіомовлення, радіозв’язку та телебачення не належать до повноважень Держкомтелерадіо, оскільки  Концерн РРТ перебуває в управлінні Адміністрації Державної служби спеціального зв’язку та захисту інформації України."
3239/29/10,2025-12-30,"АТ ""Національна суспільна телерадіокомпанія України""","Наказ Держкомтелерадіо від 30.12.2025 № 141 «Про погодження передачі в оренду (найм) нерухомого майна АТ «НСТУ».

"
3240//12,2025-12-30,"Державна служба спеціального зв""язку та захисту інформації України","Повідомляє, що інформація щодо стану приведення нормативно-правових актів у відповідність до норм Закону України від 20.11.2024 № 4070-ІХ «Про внесення змін до деяких законів України щодо функціонування Національної системи конфіденційного зв’язку та Національної електронної комунікаційної мережі» була надана Адміністрації Держспецзв’язку листом Держкомтелерадіо від 09.04.2025
№ 954/23/12."
3241/23/06,2025-12-30,Міністерство культури України,"Надсилаються  пропозиції змін до паспорта бюджетної програми за КПКВК 3802020 «Наукова і науково-технічна діяльність у сфері медіа, книговидавничої справи та інформаційно-бібліографічної діяльності» на 2025 рік затвердженого наказом МКСК від 10.02.2025 № 72 та до паспорта бюджетної програми за КПКВК 3802130 «Державні стипендії видатним діячам інформаційної галузі, дітям журналістів, які загинули (померли) або яким встановлено інвалідність у зв`язку з виконанням професійних обов`язків та премій в інформаційній
галузі» на 2025 рік затвердженого наказом МКСК від 17.12.2025 № 751047"
3242/24/01,2025-12-30,"Державна служба спеціального зв""язку та захисту інформації України","Надається інформація про здійснені заходи з реалізації відповідних завдан на виконання пункту 2 розпорядження Кабінету Міністрів України від 07.03.2025 № 204-р «Про затвердження плану заходів на 2025 рік з реалізації Стратегії кібербезпеки України» та відповідно до Плану реалізації Стратегії кібербезпеки України, затвердженого рішенням Ради національної безпеки і оборони України від 30.01.2021, введеного в дію Указом Президента України від 01.02.2022 № 37/2022, Держкомтелерадіо інформує про здійснені заходи з реалізації відповідних завдань."
3243/17/03-2,2025-12-30,Кузів М.М.; Концерн РРТ,Надсилається за належністю звернення гр.Кузіва М.М.
3244/23/05-1,2025-12-30,"Міністерство економіки, довкілля та сільського господарства України","Повідомляється, що у Держкомтелерадіо відсутні договори, укладені у рамках державно-приватного (публічно приватного) партнерства та концесій.."
3245/22/12,2025-12-31,Кабінет Міністрів України,"Про виконання Плану заходів до Закону України ""Про засади державної політики національної пам’яті Українського народу""."
3246/24/10,2025-12-31,"Державна служба України з питань геодезії, картографії та кадастру",Інформація про хід проведення інвентаризації земельних ділянок за 4 квартал 2025 року.
3247/23/14,2025-12-31,Міністерство культури та інформаційної політики,"Надається інформація за грудень 2025 року про видатки на оплату праці з нарахуваннями працівників державних органів, які не входять до сектору безпеки і оборони, за винятком осіб, які призвані на військову службу (мобілізовані) або проходять службу у складі Сил територіальної оборони Збройних Сил України."
3248/23/03-2,2025-12-31,"Міністерство економіки, довкілля та сільського господарства України",Про виконання розпорядження Кабінету Міністрів України від 04.07.2018 № 469-р “Про затвердження плану заходів з реалізації Концепції державної системи професійної орієнтації населення”.
3249/31/05-1,2025-12-31,"Державна наукова установа ""Енциклопедичне видавництво""; ДНУ ""Книжкова палата України імені Івана Федорова""","Прохання долучитися до  врегулювання питання, пов’язаного із визначенням переліку державних та інших свят, пам’ятних дат і скорботних днів в Україні, які мають загальнодержавне значення."
3250/26/05-1,2025-12-31,Національна спілка журналістів України,"Прохання долучитися до  врегулювання питання, пов’язаного із визначенням переліку державних та інших свят, пам’ятних дат і скорботних днів в Україні, які мають загальнодержавне значення."
3251/23/05-1,2025-12-31,Міністерство культури України; Міністерство культури України,"На додаток до листа від 23.12.2025 № 3173/23/05-1 щодо удосконалення роботи, пов'язаної з формуванням та реалізацією державної мовної політики."
3252/25/12,2025-12-31,Господарський суд Дніпропетровської обл.,"Державний комітет телебачення і радіомовлення України звертається з вимогою щодо витребування майна з чужого незаконного володіння, а саме, об’єкта нерухомості літ. Ф (сховище № 12237)"
3253/23/12,2025-12-31,Міністерство культури України,"Щодо доопрацювання проєктів постанов Кабінету Міністрів України «Про затвердження Порядку вилучення з обігу видавничої продукції, що має походження або виготовлена та/або випущена у світ, та/або ввезена з території держави-агресора, Республіки Білорусь, тимчасово окупованої території України, та/або внесена до Реєстру видавничої продукції антиукраїнського змісту і розповсюджується на території України, а також видавничої продукції, випущеної у світ державною мовою держави-агресора, що розповсюджується на території України без відповідного дозволу», «Про внесення змін до пункту 4 Положення про Державний комітет телебачення і радіомовлення України та постанови Кабінету Міністрів України від 10 березня 2017 р. № 135»."
3254/23/06,2025-12-31,Міністерство культури України,"Доопрацьовані пропозиції змін до паспорта бюджетної програми за КПКВК 3802020 «Наукова і науково-технічна діяльність у сфері медіа, книговидавничої справи та інформаційно-бібліографічної діяльності» на 2025."
3255/29/10,2025-12-31,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3256/23/09,2025-12-31,Міністерство фінансів України,Щодо надання інформації про аудиторський комітет Держкомтелерадіо.
3257/32/06-1,2025-12-31,Головне управління Державної казначейської служби України у м. Києві,Надсилається розподіл відкритих асигнувань загального фонду державного бюджету № 115 від 31.12.2025 року .
3258/32/06-1,2025-12-31,Головне управління Державної казначейської служби України у м. Києві,"Надсилається реєстр змін №20 та відповідні довідки, та реєстр змін №21 від 31.12.2025."
3259/17/05-1,2025-12-31,Ніколаєв Ю.М.,"Відповідь на звернення Ніколаєва Ю. щодо сприяння в організації міжвідомчої робочої групи інформаційно-гуманітарної соціально-педагогічної платформи ""Цвіт Цивілізації"""
3260/23/04,2025-12-31,Міністерство культури України,"Стосовно оновлення інформації щодо підприємств книговидавничої галузі,  які постраждали внаслідок повномасштабного вторгнення."
3261/23/04,2025-12-31,Міністерство культури України,"Щодо участі Калюжної Н.О. у нараді з обговорення проблемних питань, які можуть виникнути під час запуску надання державної субсидії розповсюджувачам  видавничої продукції (книжкової продукції)."
